gvkey,fyear,datadate,capx,intan,prcc_f
001440,2020,2020-12-31,6316.0000,52.5000,83.270000000000
001440,2021,2021-12-31,5764.1000,52.5000,88.970000000000
001440,2022,2022-12-31,6772.4000,52.5000,94.950000000000
001440,2023,2023-12-31,7506.5000,52.5000,81.220000000000
001440,2024,2024-12-31,7770.6000,52.5000,92.230000000000
001440,2025,2025-12-31,8583.0000,53.0000,115.310000000000
001447,2018,2018-12-31,1311.0000,3347.0000,95.320000000000
001447,2019,2019-12-31,1688.0000,3582.0000,124.490000000000
001447,2020,2020-12-31,1479.0000,4117.0000,120.910000000000
001447,2021,2021-12-31,1638.0000,4005.0000,163.600000000000
001447,2022,2022-12-31,1856.0000,3932.0000,147.750000000000
001447,2023,2023-12-31,1565.0000,3949.0000,187.340000000000
001447,2024,2024-12-31,1917.0000,4310.0000,296.790000000000
001447,2025,2025-12-31,2426.0000,4962.0000,369.950000000000
001448,2018,2018-12-31,0.0000,0.0000,
001448,2019,2019-12-31,0.0000,0.0000,
001448,2020,2020-12-31,0.0000,0.0000,
001449,2018,2018-12-31,0.0000,0.0000,45.560000000000
001449,2019,2019-12-31,0.0000,140.0000,52.900000000000
001449,2020,2020-12-31,0.0000,269.0000,44.470000000000
001449,2021,2021-12-31,0.0000,268.0000,58.390000000000
001449,2022,2022-12-31,0.0000,265.0000,71.940000000000
001449,2023,2023-12-31,0.0000,265.0000,82.500000000000
001449,2024,2024-12-31,0.0000,263.0000,103.440000000000
001449,2025,2025-12-31,0.0000,260.0000,110.270000000000
001487,2018,2018-12-31,0.0000,5449.0000,39.410000000000
001487,2019,2019-12-31,0.0000,5224.0000,51.330000000000
001487,2020,2020-12-31,0.0000,5016.0000,37.860000000000
001487,2021,2021-12-31,0.0000,4928.0000,56.860000000000
001487,2022,2022-12-31,0.0000,4725.0000,63.240000000000
001487,2023,2023-12-31,0.0000,3948.0000,67.750000000000
001487,2024,2024-12-31,0.0000,3743.0000,72.800000000000
001487,2025,2025-12-31,0.0000,4119.0000,85.550000000000
001526,2018,2018-12-31,17.6700,0.0000,127.240000000000
001526,2019,2019-12-31,21.4020,0.0000,117.680000000000
001526,2020,2020-12-31,39.8630,0.0000,96.120000000000
001526,2021,2021-12-31,37.1500,0.0000,188.840000000000
001545,2018,2018-12-31,95.6130,0.0000,12.070000000000
001545,2019,2019-12-31,37.1520,0.0000,17.130000000000
001545,2020,2020-12-31,17.5050,0.0000,10.900000000000
001545,2021,2021-12-31,8.0700,0.0000,12.650000000000
001545,2022,2022-12-31,18.6860,0.0000,25.650000000000
001545,2023,2023-12-31,18.4620,0.0000,17.410000000000
001545,2024,2024-12-31,57.9330,0.0000,14.680000000000
001545,2025,2025-12-31,79.4920,0.0000,16.060000000000
001559,2018,2018-12-31,1.5770,0.0000,2.380000000000
001559,2019,2019-12-31,0.9900,0.0000,2.440000000000
